timestamp,captcha_file,sent_string,method,conf_score,success,notes
2025-08-26 00:42:07,attempts\captcha_images\captcha_1756158123586.png,5893,tesseract,0.0,True,
2025-08-26 00:42:16,attempts\captcha_images\captcha_1756158130772.png,4544,tesseract+fullimage,43.0,True,
2025-08-26 00:42:25,attempts\captcha_images\captcha_1756158139923.png,9417,tesseract+fullimage,0.0,True,
2025-08-26 00:42:34,attempts\captcha_images\captcha_1756158148873.png,588,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:42:44,attempts\captcha_images\captcha_1756158158466.png,7618,tesseract+fullimage,23.0,True,
2025-08-26 00:42:53,attempts\captcha_images\captcha_1756158167656.png,6508,tesseract+fullimage,0.0,True,
2025-08-26 00:43:00,attempts\captcha_images\captcha_1756158176990.png,7266,tesseract,30.0,False,captcha_incorrect
2025-08-26 00:43:09,attempts\captcha_images\captcha_1756158184540.png,762,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:43:19,attempts\captcha_images\captcha_1756158192858.png,6456,tesseract+fullimage,27.0,True,
2025-08-26 00:43:28,attempts\captcha_images\captcha_1756158202313.png,1632,tesseract+fullimage,25.0,True,
2025-08-26 00:43:37,attempts\captcha_images\captcha_1756158211225.png,6980,tesseract+fullimage,0.0,True,
2025-08-26 00:43:46,attempts\captcha_images\captcha_1756158220263.png,6414,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:43:56,attempts\captcha_images\captcha_1756158229988.png,990,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:44:06,attempts\captcha_images\captcha_1756158240152.png,6645,tesseract+fullimage,50.0,True,
2025-08-26 00:44:15,attempts\captcha_images\captcha_1756158249366.png,4386,tesseract+fullimage,26.0,True,
2025-08-26 00:44:24,attempts\captcha_images\captcha_1756158258888.png,9582,tesseract+fullimage,36.0,True,
2025-08-26 00:44:33,attempts\captcha_images\captcha_1756158267456.png,9768,tesseract+fullimage,0.0,True,
2025-08-26 00:44:42,attempts\captcha_images\captcha_1756158276625.png,5608,tesseract+fullimage,0.0,True,
2025-08-26 00:44:52,attempts\captcha_images\captcha_1756158285913.png,1474,tesseract+fullimage,1.0,True,
2025-08-26 00:45:01,attempts\captcha_images\captcha_1756158295343.png,2328,tesseract+fullimage,0.0,True,
2025-08-26 00:45:10,attempts\captcha_images\captcha_1756158304339.png,4659,tesseract+fullimage,18.0,True,
2025-08-26 00:45:17,attempts\captcha_images\captcha_1756158313391.png,8937,tesseract,0.0,True,
2025-08-26 00:45:26,attempts\captcha_images\captcha_1756158320225.png,3402,tesseract+fullimage,0.0,True,
2025-08-26 00:45:35,attempts\captcha_images\captcha_1756158329212.png,1868,tesseract+fullimage,0.0,True,
2025-08-26 00:45:44,attempts\captcha_images\captcha_1756158338659.png,2424,tesseract+fullimage,13.0,True,
2025-08-26 00:45:53,attempts\captcha_images\captcha_1756158347904.png,3444,tesseract+fullimage,25.0,True,
2025-08-26 00:46:00,attempts\captcha_images\captcha_1756158356963.png,9519,tesseract,0.0,True,
2025-08-26 00:46:09,attempts\captcha_images\captcha_1756158364003.png,8380,tesseract+fullimage,0.0,True,
2025-08-26 00:46:18,attempts\captcha_images\captcha_1756158372756.png,9186,tesseract+fullimage,25.0,True,
2025-08-26 00:46:28,attempts\captcha_images\captcha_1756158381698.png,1037,tesseract+fullimage,0.0,True,
2025-08-26 00:46:37,attempts\captcha_images\captcha_1756158391137.png,7750,tesseract+fullimage,0.0,True,
2025-08-26 00:46:46,attempts\captcha_images\captcha_1756158400060.png,2425,tesseract+fullimage,0.0,True,
2025-08-26 00:46:55,attempts\captcha_images\captcha_1756158409140.png,2878,tesseract+fullimage,49.0,True,
2025-08-26 00:47:03,attempts\captcha_images\captcha_1756158418121.png,8994,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:47:14,attempts\captcha_images\captcha_1756158427707.png,7969,tesseract+fullimage,0.0,True,
2025-08-26 00:47:22,attempts\captcha_images\captcha_1756158437103.png,3840,tesseract+fullimage,38.0,True,
2025-08-26 00:47:31,attempts\captcha_images\captcha_1756158445592.png,8460,tesseract+fullimage,0.0,True,
2025-08-26 00:47:38,attempts\captcha_images\captcha_1756158454550.png,7586,tesseract,64.0,True,
2025-08-26 00:47:47,attempts\captcha_images\captcha_1756158461460.png,9839,tesseract+fullimage,0.0,True,
2025-08-26 00:47:56,attempts\captcha_images\captcha_1756158470432.png,4090,tesseract+fullimage,31.0,True,
2025-08-26 00:48:05,attempts\captcha_images\captcha_1756158479620.png,5644,tesseract+fullimage,0.0,True,
2025-08-26 00:48:12,attempts\captcha_images\captcha_1756158488527.png,3988,tesseract,22.0,True,
2025-08-26 00:48:19,attempts\captcha_images\captcha_1756158495259.png,525,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:48:29,attempts\captcha_images\captcha_1756158503228.png,7047,tesseract+fullimage,0.0,True,
2025-08-26 00:48:38,attempts\captcha_images\captcha_1756158512399.png,4796,tesseract+fullimage,26.0,True,
2025-08-26 00:48:47,attempts\captcha_images\captcha_1756158521506.png,596,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:48:57,attempts\captcha_images\captcha_1756158531218.png,3062,tesseract+fullimage,0.0,True,
2025-08-26 00:49:06,attempts\captcha_images\captcha_1756158540423.png,5409,tesseract+fullimage,0.0,True,
2025-08-26 00:49:15,attempts\captcha_images\captcha_1756158549299.png,2344,tesseract+fullimage,14.0,False,captcha_incorrect
2025-08-26 00:49:25,attempts\captcha_images\captcha_1756158559038.png,2296,tesseract+fullimage,9.0,True,
2025-08-26 00:49:33,attempts\captcha_images\captcha_1756158568028.png,3482,tesseract+fullimage,0.0,True,
2025-08-26 00:49:41,attempts\captcha_images\captcha_1756158576944.png,559,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:49:51,attempts\captcha_images\captcha_1756158585121.png,6884,tesseract+fullimage,0.0,False,captcha_incorrect
2025-08-26 00:49:59,attempts\captcha_images\captcha_1756158595258.png,7383,tesseract,10.0,True,
2025-08-26 00:50:08,attempts\captcha_images\captcha_1756158602534.png,2186,tesseract+fullimage,18.0,True,
2025-08-26 00:50:17,attempts\captcha_images\captcha_1756158611390.png,8368,tesseract+fullimage,0.0,True,
2025-08-26 00:50:26,attempts\captcha_images\captcha_1756158620522.png,2449,tesseract+fullimage,35.0,True,
2025-08-26 00:50:35,attempts\captcha_images\captcha_1756158629205.png,3802,tesseract+fullimage,0.0,True,
